at_date,product_id,version,name,release_date,link
2020-12-25,kubernetes/kubernetes,v1.20.1,Kubernetes v1.20.1,2020-12-18 15:24:11,https://github.com/kubernetes/kubernetes/releases/tag/v1.20.1
2020-12-25,kubernetes/kubernetes,v1.19.6,Kubernetes v1.19.6,2020-12-18 15:16:43,https://github.com/kubernetes/kubernetes/releases/tag/v1.19.6
2020-12-25,kubernetes/kubernetes,v1.18.14,Kubernetes v1.18.14,2020-12-18 15:07:19,https://github.com/kubernetes/kubernetes/releases/tag/v1.18.14
2020-12-25,kubernetes/kubernetes,v1.17.16,Kubernetes v1.17.16,2020-12-18 14:58:43,https://github.com/kubernetes/kubernetes/releases/tag/v1.17.16
2020-12-25,kubernetes/kubernetes,v1.18.13,Kubernetes v1.18.13,2020-12-09 21:38:56,https://github.com/kubernetes/kubernetes/releases/tag/v1.18.13
2020-12-25,kubernetes/kubernetes,v1.17.15,Kubernetes v1.17.15,2020-12-09 21:33:47,https://github.com/kubernetes/kubernetes/releases/tag/v1.17.15
2020-12-25,kubernetes/kubernetes,v1.19.5,Kubernetes v1.19.5,2020-12-09 19:47:38,https://github.com/kubernetes/kubernetes/releases/tag/v1.19.5
2020-12-25,kubernetes/kubernetes,v1.20.0,Kubernetes v1.20.0,2020-12-08 19:31:45,https://github.com/kubernetes/kubernetes/releases/tag/v1.20.0
2020-12-25,kubernetes/kubernetes,v1.20.0-rc.0,Kubernetes v1.20.0-rc.0,2020-12-01 12:14:07,https://github.com/kubernetes/kubernetes/releases/tag/v1.20.0-rc.0
2020-12-25,kubernetes/kubernetes,v1.20.0-beta.2,v1.20.0-beta.2,2020-11-18 03:08:51,https://github.com/kubernetes/kubernetes/releases/tag/v1.20.0-beta.2
2020-12-25,kubernetes/kubernetes,v1.18.12,v1.18.12,2020-11-12 18:09:25,https://github.com/kubernetes/kubernetes/releases/tag/v1.18.12
2020-12-25,kubernetes/kubernetes,v1.19.4,v1.19.4,2020-11-11 23:57:07,https://github.com/kubernetes/kubernetes/releases/tag/v1.19.4
2020-12-25,kubernetes/kubernetes,v1.17.14,v1.17.14,2020-11-11 20:41:48,https://github.com/kubernetes/kubernetes/releases/tag/v1.17.14
2020-12-25,kubernetes/kubernetes,v1.20.0-beta.1,v1.20.0-beta.1,2020-11-03 12:09:49,https://github.com/kubernetes/kubernetes/releases/tag/v1.20.0-beta.1
2020-12-25,kubernetes/kubernetes,v1.20.0-beta.0,v1.20.0-beta.0,2020-10-28 18:57:42,https://github.com/kubernetes/kubernetes/releases/tag/v1.20.0-beta.0
2020-12-25,kubernetes/kubernetes,v1.20.0-alpha.3,v1.20.0-alpha.3,2020-10-20 09:54:31,https://github.com/kubernetes/kubernetes/releases/tag/v1.20.0-alpha.3
2020-12-25,kubernetes/kubernetes,v1.18.10,v1.18.10,2020-10-15 18:22:47,https://github.com/kubernetes/kubernetes/releases/tag/v1.18.10
2020-12-25,kubernetes/kubernetes,v1.17.13,v1.17.13,2020-10-15 17:12:02,https://github.com/kubernetes/kubernetes/releases/tag/v1.17.13
2020-12-25,kubernetes/kubernetes,v1.19.3,v1.19.3,2020-10-14 16:51:35,https://github.com/kubernetes/kubernetes/releases/tag/v1.19.3
2020-12-25,kubernetes/kubernetes,v1.20.0-alpha.2,v1.20.0-alpha.2,2020-10-13 19:44:29,https://github.com/kubernetes/kubernetes/releases/tag/v1.20.0-alpha.2
2020-12-25,kubernetes/kubernetes,v1.20.0-alpha.1,v1.20.0-alpha.1,2020-09-22 16:35:13,https://github.com/kubernetes/kubernetes/releases/tag/v1.20.0-alpha.1
2020-12-25,kubernetes/kubernetes,v1.19.2,v1.19.2,2020-09-16 19:41:55,https://github.com/kubernetes/kubernetes/releases/tag/v1.19.2
2020-12-25,kubernetes/kubernetes,v1.18.9,v1.18.9,2020-09-16 19:40:39,https://github.com/kubernetes/kubernetes/releases/tag/v1.18.9
2020-12-25,kubernetes/kubernetes,v1.17.12,v1.17.12,2020-09-16 19:36:50,https://github.com/kubernetes/kubernetes/releases/tag/v1.17.12
2020-12-25,kubernetes/kubernetes,v1.19.1,v1.19.1,2020-09-09 16:10:42,https://github.com/kubernetes/kubernetes/releases/tag/v1.19.1
2020-12-25,kubernetes/kubernetes,v1.16.15,v1.16.15,2020-09-02 17:58:34,https://github.com/kubernetes/kubernetes/releases/tag/v1.16.15
2020-12-25,kubernetes/kubernetes,v1.19.0,v1.19.0,2020-08-26 18:30:19,https://github.com/kubernetes/kubernetes/releases/tag/v1.19.0
2020-12-25,kubernetes/kubernetes,v1.18.8,v1.18.8,2020-08-13 18:12:31,https://github.com/kubernetes/kubernetes/releases/tag/v1.18.8
